,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
429,North by Northwest,1959,136,8.3,98.0,290052,13.28
430,The Secret in Their Eyes,2009,129,8.2,80.0,186728,6.39
431,The Farewell,2019,100,7.6,89.0,43090,16.88
432,I Saw the Devil,2010,144,7.8,67.0,105107,0.13
433,My Fair Lady,1964,170,7.8,95.0,84431,72.0
434,The Color Purple,1985,154,7.8,78.0,76027,98.47
435,October Sky,1999,108,7.8,71.0,79899,32.48
436,Wreck-It Ralph,2012,101,7.7,72.0,369895,189.42
437,This Is Spinal Tap,1984,82,7.9,92.0,126135,0.19
438,Hunt for the Wilderpeople,2016,101,7.9,81.0,103450,5.2
439,Young Frankenstein,1974,106,8.0,80.0,139861,86.3
440,Man on Fire,2004,146,7.7,47.0,322634,77.91
441,Dangal,2016,161,8.4,None Given,145740,12.39
442,Billy Elliot,2000,110,7.7,74.0,123428,22.0
443,The Bourne Supremacy,2004,108,7.7,73.0,425671,176.24
444,Glory,1989,122,7.8,78.0,118296,26.83
445,The Birds,1963,119,7.7,90.0,166234,11.4
446,Ponyo,2008,101,7.7,86.0,119031,15.09
447,Breakfast at Tiffany's,1961,115,7.7,76.0,162290,
448,The Bourne Ultimatum,2007,115,8.0,85.0,596130,227.47
449,Only the Brave,2017,134,7.6,72.0,54378,18.34
450,Straight Outta Compton,2015,147,7.8,72.0,175415,161.2
